factor,age,gain_years,gain_projection_low,gain_projection_high,factor_projection_low,factor_projection_high
1.1,85,1.0750000000000028,0.22849139655862308,2.021138455382144,1.0228491396558623,1.1822729091636652
1.1,90,0.7250000000000085,0.14851940776309977,1.2831832733093176,1.0228491396558623,1.1822729091636652
1.1,95,0.4000000000000057,0.11424569827931154,0.7613645458183208,1.0228491396558623,1.1822729091636652
1.1,100,0.1749999999999971,0.03427370948379474,0.39681872749099667,1.0228491396558623,1.1822729091636652
1.15,60,4.350000000000012,1.8792737094837897,6.475512204881963,1.0606762705082031,1.2409323729491797
1.15,65,4.049999999999994,1.7079211684673792,6.059579831932772,1.0606762705082031,1.2409323729491797
1.15,70,3.5999999999999908,1.5258923569427771,5.493647458983591,1.0606762705082031,1.2409323729491797
1.15,75,3.0,1.1885254101640697,4.641316526610656,1.0606762705082031,1.2409323729491797
1.15,80,2.299999999999997,0.9101440576230461,3.643519407763112,1.0606762705082031,1.2409323729491797
1.15,85,1.6000000000000083,0.6281152460984356,2.6752561024409687,1.0606762705082031,1.2409323729491797
1.15,90,1.0500000000000114,0.4050720288115116,1.7115266106442506,1.0606762705082031,1.2409323729491797
1.15,95,0.5499999999999972,0.2820288115246074,1.03419567827131,1.0606762705082031,1.2409323729491797
1.15,100,0.3499999999999943,0.10702881152461019,0.5932633053221295,1.0606762705082031,1.2409323729491797
1.2,60,5.5500000000000185,3.2775830332132836,7.555046018407365,1.1106762705082032,1.2909323729491797
1.2,65,5.1999999999999815,3.016906762705078,7.109579831932772,1.1106762705082032,1.2909323729491797
1.2,70,4.674999999999997,2.6902160864345728,6.4731812725090085,1.1106762705082032,1.2909323729491797
1.2,75,3.9249999999999954,2.1885254101640705,5.516316526610656,1.1106762705082032,1.2909323729491797
1.2,80,3.075000000000003,1.6761584633853521,4.388985594237701,1.1106762705082032,1.2909323729491797
1.2,85,2.1750000000000114,1.217438975590228,3.2252561024409774,1.1106762705082032,1.2909323729491797
1.2,90,1.4250000000000114,0.7693957583033095,2.0615266106442562,1.1106762705082032,1.2909323729491797
1.2,95,0.7999999999999972,0.44270508203280456,1.2796618647459013,1.1106762705082032,1.2909323729491797
1.2,100,0.4249999999999971,0.24101440576229957,0.6659323729491774,1.1106762705082032,1.2909323729491797
